,city_name,latitude,longitude,max temp,humidity,cloudiness,wind speed,country,date
107,Lompoc,34.6391,-120.4579,50.0,81.0,0.0,9.22,US,1617073476.0
108,Umluj,25.0213,37.2685,70.74,63.0,36.0,12.8,SA,1617073520.0
109,Richards Bay,-28.783,32.0377,64.81,88.0,41.0,5.21,ZA,1617073631.0
110,Ostrovnoy,68.0531,39.5131,34.56,96.0,100.0,22.7,RU,1617073631.0
112,Bubaque,11.2833,-15.8333,74.89,73.0,5.0,10.98,GW,1617073632.0
113,Qaanaaq,77.484,-69.3632,-11.96,63.0,96.0,7.67,GL,1617073632.0
114,Kruisfontein,-34.0033,24.7314,57.0,94.0,7.0,1.01,ZA,1617073429.0
116,Río Gallegos,-51.6226,-69.2181,48.2,93.0,0.0,3.44,AR,1617073633.0
117,Port Lincoln,-34.7333,135.8667,75.11,52.0,2.0,4.97,AU,1617073633.0
119,Khotyn,48.4833,26.5,33.01,76.0,83.0,1.99,UA,1617073634.0
120,Izumo,35.3667,132.7667,64.4,59.0,75.0,5.75,JP,1617073515.0
121,Faanui,-16.4833,-151.75,82.18,72.0,91.0,12.68,PF,1617073634.0
122,Lata,40.1629,-8.3327,57.0,84.0,21.0,4.43,PT,1617073635.0
123,Tual,-5.6667,132.75,83.03,74.0,72.0,8.84,ID,1617073635.0
124,Cayenne,4.9333,-52.3333,79.0,83.0,20.0,8.05,GF,1617073635.0
125,Hofn,64.2539,-15.2082,27.45,63.0,93.0,16.6,IS,1617073636.0
126,Taoudenni,22.6783,-3.9836,77.07,7.0,72.0,10.0,ML,1617073636.0
127,Kovylkino,54.0388,43.9139,21.36,99.0,100.0,1.28,RU,1617073636.0
128,Hilo,19.7297,-155.09,75.2,69.0,90.0,6.91,US,1617073637.0
129,Polistena,38.406,16.08,55.99,41.0,9.0,2.37,IT,1617073637.0
130,Winnemucca,40.973,-117.7357,37.4,20.0,1.0,8.05,US,1617073637.0
131,Lorengau,-2.0226,147.2712,85.98,66.0,100.0,6.98,PG,1617073489.0
132,Quatre Cocos,-20.2078,57.7625,80.01,94.0,20.0,8.05,MU,1617073638.0
133,Ugoofaaru,5.6667,73.0,82.99,72.0,96.0,15.08,MV,1617073638.0
134,Nikolskoye,59.7035,30.7861,43.0,87.0,90.0,11.18,RU,1617073638.0
135,Beringovskiy,63.05,179.3167,12.24,82.0,100.0,21.09,RU,1617073440.0
136,Gobabis,-22.45,18.9667,64.04,76.0,100.0,2.64,NA,1617073639.0
138,Isangel,-19.55,169.2667,84.43,71.0,40.0,8.21,VU,1617073639.0
139,Guerrero Negro,27.9769,-114.0611,61.09,74.0,91.0,10.58,MX,1617073640.0
140,Hay River,60.8156,-115.7999,3.2,51.0,47.0,3.44,CA,1617073548.0
141,Kuala Terengganu,5.3302,103.1408,84.2,79.0,40.0,3.44,MY,1617073640.0
142,Broken Hill,-31.95,141.4333,75.2,31.0,0.0,14.97,AU,1617073641.0
143,Rocha,-34.4833,-54.3333,65.34,87.0,75.0,10.78,UY,1617073641.0
144,Noumea,-22.2763,166.4572,86.0,62.0,0.0,13.8,NC,1617073635.0
145,Iberia,29.9502,-91.7507,63.0,72.0,1.0,3.44,US,1617073642.0
146,Asău,46.4333,26.4,36.0,86.0,0.0,1.14,RO,1617073642.0
147,Airai,-8.9266,125.4092,62.11,94.0,100.0,3.83,TL,1617073642.0
148,Nouadhibou,20.931,-17.0347,62.55,85.0,42.0,18.48,MR,1617073643.0
149,Hobyo,5.3505,48.5268,78.66,75.0,69.0,7.36,SO,1617073643.0
150,George Town,5.4112,100.3354,86.0,83.0,20.0,4.61,MY,1617073468.0
151,Caucayá,-0.1934,-74.7819,72.45,97.0,100.0,2.42,CO,1617073644.0
152,Riyadh,24.6877,46.7219,60.8,14.0,0.0,6.26,SA,1617073626.0
153,Iqaluit,63.7506,-68.5145,-0.4,71.0,20.0,16.11,CA,1617073474.0
154,Teguise,29.0605,-13.564,64.4,82.0,75.0,5.75,ES,1617073644.0
155,Chichibu,35.9903,139.0764,69.01,63.0,40.0,3.44,JP,1617073645.0
156,Grootfontein,-19.5667,18.1167,59.0,100.0,100.0,5.75,NA,1617073645.0
157,Snåase,64.2457,12.3778,36.57,85.0,100.0,17.81,NO,1617073645.0
158,Morros,-9.4467,-46.3003,74.28,77.0,8.0,2.66,BR,1617073646.0
159,Berbera,10.4396,45.0143,78.12,73.0,73.0,8.16,SO,1617073630.0
160,Shimoda,34.6667,138.95,72.0,77.0,75.0,6.91,JP,1617073588.0
161,Tasiilaq,65.6145,-37.6368,14.0,52.0,3.0,3.44,GL,1617073391.0
163,Waipawa,-41.4122,175.5153,63.0,94.0,75.0,4.61,NZ,1617073647.0
164,Pochutla,15.7432,-96.4661,81.0,68.0,17.0,5.12,MX,1617073647.0
165,Cravo Norte,6.3017,-70.2041,81.57,66.0,100.0,6.22,CO,1617073647.0
166,Leningradskiy,69.3833,178.4167,0.19,91.0,100.0,19.01,RU,1617073648.0
167,Nabire,-3.3667,135.4833,86.58,64.0,100.0,4.76,ID,1617073648.0
168,Sarangani,5.4033,125.4636,76.62,90.0,100.0,11.45,PH,1617073648.0
169,Hobart,-42.8794,147.3294,70.0,45.0,40.0,11.5,AU,1617073417.0
170,Jiuquan,39.7432,98.5174,47.26,44.0,100.0,6.73,CN,1617073649.0
171,Barcelos,41.5388,-8.6151,62.6,59.0,0.0,10.36,PT,1617073560.0
172,Frontera,26.9333,-101.45,67.42,49.0,100.0,3.13,MX,1617073649.0
173,Port Augusta,-32.5,137.7667,84.0,34.0,0.0,8.05,AU,1617073650.0
174,Kupiškis,55.8333,24.9667,43.56,97.0,100.0,11.95,LT,1617073650.0
175,Nelson Bay,-32.7167,152.15,72.0,56.0,40.0,19.57,AU,1617073651.0
176,Abu Samrah,35.3029,37.1841,49.28,45.0,99.0,4.29,SY,1617073651.0
177,Castro,-24.7911,-50.0119,61.2,97.0,8.0,4.52,BR,1617073651.0
178,Tiksi,71.6872,128.8694,8.06,89.0,100.0,4.99,RU,1617073652.0
180,Saskylakh,71.9167,114.0833,-19.14,98.0,99.0,6.67,RU,1617073652.0
181,Mahébourg,-20.4081,57.7,73.4,94.0,20.0,8.05,MU,1617073492.0
185,Avarua,-21.2078,-159.775,84.2,74.0,40.0,12.66,CK,1617073653.0
186,Tuy Hoa,13.0833,109.3,87.13,48.0,81.0,4.52,VN,1617073654.0
187,Klaksvík,62.2266,-6.589,37.4,87.0,90.0,1.86,FO,1617073654.0
188,Mjölby,58.326,15.1237,51.8,87.0,90.0,13.8,SE,1617073655.0
189,Kenai,60.5544,-151.2583,39.2,70.0,90.0,18.41,US,1617073655.0
190,Narsaq,60.9167,-46.05,24.8,50.0,75.0,2.3,GL,1617073655.0
191,Ouidah,6.3631,2.0851,82.4,83.0,40.0,8.05,BJ,1617073656.0
192,Mayna,54.1135,47.6231,13.37,96.0,68.0,2.91,RU,1617073656.0
194,Praia,14.9215,-23.5087,66.2,77.0,20.0,11.5,CV,1617073657.0
195,Ahipara,-35.1667,173.1667,70.57,85.0,96.0,10.74,NZ,1617073657.0
196,Lebu,-37.6167,-73.65,54.82,92.0,28.0,2.44,CL,1617073430.0
197,Vysokogornyy,50.1167,139.15,35.17,98.0,100.0,3.65,RU,1617073658.0
199,New Norfolk,-42.7826,147.0587,70.0,53.0,71.0,1.99,AU,1617073658.0
200,Srednekolymsk,67.45,153.6833,17.01,73.0,20.0,4.36,RU,1617073658.0
201,Orodara,10.9492,-4.9342,80.6,32.0,2.0,2.3,BF,1617073659.0
202,Norman Wells,65.282,-126.8329,12.2,44.0,75.0,5.75,CA,1617073659.0
203,Saint Paul Harbor,57.79,-152.4072,42.8,70.0,75.0,10.36,US,1617073462.0
205,Kampene,-3.6,26.6667,66.65,98.0,100.0,1.03,CD,1617073660.0
206,Ürümqi,43.801,87.6005,33.8,100.0,90.0,2.24,CN,1617073506.0
207,Flin Flon,54.7682,-101.865,11.8,92.0,100.0,17.05,CA,1617073661.0
208,Massakory,12.996,15.7293,72.97,9.0,0.0,16.67,TD,1617073661.0
209,Bilibino,68.0546,166.4372,0.84,86.0,99.0,3.83,RU,1617073661.0
210,Ushtobe,45.2514,77.9838,41.09,73.0,100.0,6.29,KZ,1617073662.0
212,Yulara,-25.2406,130.9889,82.4,24.0,0.0,16.11,AU,1617073662.0
213,East London,-33.0153,27.9116,67.32,87.0,80.0,13.2,ZA,1617073662.0
214,Hamilton,39.1834,-84.5333,48.99,57.0,1.0,9.22,US,1617073431.0
215,Raton,36.9034,-104.4391,52.0,25.0,1.0,6.91,US,1617073663.0
216,Celestún,20.8667,-90.4,80.56,69.0,47.0,14.67,MX,1617073663.0
217,Seoul,37.5683,126.9778,59.0,26.0,0.0,3.44,KR,1617073529.0
218,Kjøllefjord,70.9457,27.3465,33.8,86.0,75.0,8.05,NO,1617073664.0
220,Kaitangata,-46.2817,169.8464,62.01,77.0,92.0,8.01,NZ,1617073664.0
221,Valparaíso,-33.0393,-71.6273,48.2,100.0,0.0,2.3,CL,1617073665.0
223,Albion,42.2431,-84.753,46.99,57.0,1.0,9.22,US,1617073487.0
224,Vilhena,-12.7406,-60.1458,68.09,96.0,19.0,3.13,BR,1617073484.0
225,Port Moresby,-9.4431,147.1797,86.0,79.0,40.0,11.5,PG,1617073665.0
226,Gazli,40.1333,63.45,46.74,54.0,4.0,3.44,UZ,1617073666.0
227,Salalah,17.0151,54.0924,89.6,17.0,0.0,21.85,OM,1617073666.0
228,Muros,42.7762,-9.0603,52.0,87.0,14.0,5.19,ES,1617073666.0
229,Tuktoyaktuk,69.4541,-133.0374,-7.6,71.0,20.0,17.27,CA,1617073667.0
